Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,mean_squared_error,mean_absolute_error,median_absolute_error,r2_score,explained_variance_score,Training Time,Inference Time
airfoil_self_noise_uci,Ewa,6,"{'beta': 0.001, 'machine_list': 'basic')",0.009449235,0.068776167,0.044391712,0.668343704,0.674137598,9.592743466,0.021704057
airfoil_self_noise_uci,AdaBoost,7,"{'base_estimator__ccp_alpha': 0.0027387593197926163, 'n_estimators': 55}",0.010188584,0.081962826,0.069911983,0.718952584,0.719017161,4.312309992,0.009260789
airfoil_self_noise_uci,Boruta,7,"{'ccp_alpha': 0.001981014890848788, 'n_estimators': 18}",0.022455266,0.117817645,0.084917701,0.380581807,0.38133594,57.19124804,0.002260926
airfoil_self_noise_uci,Cobra,7,"{'epsilon': 0.17084924721507716, 'machine_list': 'basic')",0.015243929,0.096507826,0.087578382,0.579503208,0.607742188,515.5801184,20.9268405
airfoil_self_noise_uci,Ewa,7,"{'beta': 0.001, 'machine_list': 'basic')",0.014100789,0.08489935,0.060481492,0.611036209,0.619493969,9.571081401,0.02133472
airfoil_self_noise_uci,AdaBoost,8,"{'base_estimator__ccp_alpha': 0.0027387593197926163, 'n_estimators': 55}",0.008190873,0.071495424,0.059566156,0.772390164,0.780148399,4.161035859,0.008847835
airfoil_self_noise_uci,Boruta,8,"{'ccp_alpha': 0.001862602113776709, 'n_estimators': 11}",0.017283521,0.107607708,0.100294593,0.519721597,0.52991241,57.16073383,0.001507405
airfoil_self_noise_uci,Cobra,8,"{'epsilon': 0.11464335779287668, 'machine_list': 'basic')",0.009491592,0.083371382,0.078925103,0.736245472,0.749472704,515.3025453,21.64879656
airfoil_self_noise_uci,Ewa,8,"{'beta': 0.001, 'machine_list': 'basic')",0.009572006,0.074244488,0.05553801,0.734010922,0.766418602,9.596419401,0.0220677
airfoil_self_noise_uci,AdaBoost,9,"{'base_estimator__ccp_alpha': 0.0027387593197926163, 'n_estimators': 55}",0.008710957,0.075982153,0.063681892,0.768519166,0.77019207,4.416892313,0.009368378
airfoil_self_noise_uci,Boruta,9,"{'ccp_alpha': 0.001862602113776709, 'n_estimators': 11}",0.021328323,0.116241548,0.094020957,0.433231287,0.433707327,57.15133871,0.001506705
airfoil_self_noise_uci,Cobra,9,"{'epsilon': 0.11264358871410912, 'machine_list': 'basic')",0.011153834,0.08553638,0.076505894,0.703603325,0.711840784,514.0638035,20.79531571
airfoil_self_noise_uci,Ewa,9,"{'beta': 0.001, 'machine_list': 'basic')",0.009839253,0.078082789,0.06559781,0.738536378,0.75091019,9.575878039,0.021250769
airfoil_self_noise_uci,AdaBoost,10,"{'base_estimator__ccp_alpha': 0.0027387593197926163, 'n_estimators': 55}",0.008401477,0.072954457,0.059229685,0.772640729,0.772909517,4.153760677,0.009710355
airfoil_self_noise_uci,Boruta,10,"{'ccp_alpha': 0.001981014890848788, 'n_estimators': 18}",0.022093068,0.117159951,0.097031216,0.402121336,0.403073766,57.18181676,0.002230107
airfoil_self_noise_uci,Cobra,10,"{'epsilon': 0.16927604175496103, 'machine_list': 'basic')",0.01549835,0.098812789,0.088789767,0.580586415,0.615027474,514.1641391,20.99543522
airfoil_self_noise_uci,Ewa,10,"{'beta': 0.001, 'machine_list': 'basic')",0.012554389,0.080552659,0.05226148,0.660255361,0.667376283,9.600708726,0.021871032
analcatdata_apnea1,AdaBoost,1,"{'base_estimator__ccp_alpha': 0.05245481595728714, 'n_estimators': 33}",0.003680946,0.033629825,0.017137171,0.334762738,0.335418359,1.164237464,0.002444116
analcatdata_apnea1,Boruta,1,"{'ccp_alpha': 0.001862602113776709, 'n_estimators': 11}",0.003827733,0.027888717,0.007298459,0.308234836,0.31564886,128.232827,0.001429876
analcatdata_apnea1,Cobra,1,"{'epsilon': 0.36005623897172306, 'machine_list': 'basic')",0.004262478,0.03018043,0.009608944,0.229665751,0.232406686,117.071264,13.2804226
analcatdata_apnea1,Ewa,1,"{'beta': 0.001, 'machine_list': 'basic')",0.002662238,0.02804122,0.006089535,0.518868244,0.528617607,7.405064872,0.016306371
analcatdata_apnea1,AdaBoost,2,"{'base_estimator__ccp_alpha': 0.0518152548941889, 'n_estimators': 5}",0.000749772,0.022148838,0.012572145,-0.738758241,-0.244891298,1.177519457,0.001032433
analcatdata_apnea1,Boruta,2,"{'ccp_alpha': 0.0023608897695197605, 'n_estimators': 6}",0.000445304,0.01410699,0.010303002,-0.032681883,0.017035398,128.0382179,0.000933141
